recommendation,username,name,profile_url,profile_image_url,followers_count,following_count,listed_count,created_at,tweets_found,total_likes,total_retweets,total_replies,total_engagement,engagement_rate,recommendation_reason,sample_tweet_1,sample_tweet_2,sample_tweet_3,tweet_date_1,tweet_date_2,tweet_date_3,tweet_url_1,tweet_url_2,tweet_url_3
Skip,Nadrojojo,"J'or-dents (Ø,G)",https://x.com/Nadrojojo,https://pbs.twimg.com/profile_images/1983879028596424704/VYmCKAhb_normal.jpg,95,633,,2015-06-25T11:39:15.000Z,1,1,0,1,2,0.0211,Too small audience for promo,@Euphoria_fi Can i have code pleaseee ?,,,2026-02-18T19:43:10.000Z,,,https://x.com/Nadrojojo/status/2024208085426790835,,
Skip,mickael_btc,MICKAËL,https://x.com/mickael_btc,https://pbs.twimg.com/profile_images/1853763749028524032/vnsM3Nzv_normal.jpg,591,1267,8,2020-05-07T13:22:38.000Z,1,9,1,2,12,0.0203,Too small audience for promo,"I love the @Polymarket 5 min markets.
Just made this nice view to trade it in real time.

Available on @hyperviewxyz https://t.co/ffwVvamQgK",,,2026-02-14T12:00:54.000Z,,,https://x.com/mickael_btc/status/2022642200967106792,,
Skip,Jauhin_harland,jauhin harland,https://x.com/Jauhin_harland,https://pbs.twimg.com/profile_images/1969348252651962371/kdaXGzec_normal.jpg,101,142,,2025-09-20T10:29:02.000Z,1,2,0,0,2,0.0198,Too small audience for promo,@Euphoria_fi where code,,,2026-02-18T15:34:47.000Z,,,https://x.com/Jauhin_harland/status/2024145578888683950,,
Skip,dgaul462,Dgaul462 🌿,https://x.com/dgaul462,https://pbs.twimg.com/profile_images/1968740189981028352/cfFzxIfK_normal.jpg,56,740,,2021-12-03T05:03:15.000Z,1,1,0,0,1,0.0179,Too small audience for promo,@Euphoria_fi I Need code,,,2026-02-18T15:53:32.000Z,,,https://x.com/dgaul462/status/2024150297350946831,,
Skip,kuCoin_Alpha,"KU (✱,✱)",https://x.com/kuCoin_Alpha,https://pbs.twimg.com/profile_images/1998458926078267392/rMkuRy3K_normal.jpg,118,980,,2025-05-15T08:17:46.000Z,1,1,0,1,2,0.0169,Too small audience for promo,@Euphoria_fi please give me code sir,,,2026-02-18T19:29:43.000Z,,,https://x.com/kuCoin_Alpha/status/2024204702226010388,,
Skip,VinodKu79897832,Vinod Kumar π² Zetarium,https://x.com/VinodKu79897832,https://pbs.twimg.com/profile_images/1992202530865250304/iUmdyhsH_normal.jpg,63,392,,2020-10-06T00:52:27.000Z,1,1,0,0,1,0.0159,Too small audience for promo,@Euphoria_fi Let's see,,,2026-02-18T15:38:43.000Z,,,https://x.com/VinodKu79897832/status/2024146570447589558,,
Skip,Tshwaret,Tshwaret,https://x.com/Tshwaret,https://pbs.twimg.com/profile_images/2000892577357148161/nIIiTD0U_normal.jpg,127,473,,2020-09-07T07:03:28.000Z,1,1,0,1,2,0.0157,Too small audience for promo,"@Euphoria_fi Well done to everyone in top 3. Now I need to get on the board tomorrow..

If you haven't joined yet here is an access code:
https://t.co/OUXGPOAaNY",,,2026-02-18T15:29:05.000Z,,,https://x.com/Tshwaret/status/2024144146626134403,,
Skip,Priyansh78602,STONKS,https://x.com/Priyansh78602,https://pbs.twimg.com/profile_images/1941732585958264832/o1dl472a_normal.jpg,66,124,,2023-07-22T06:38:16.000Z,1,0,0,1,1,0.0152,Too small audience for promo,@theparadiselive @theparadiselive you should check polymarket 5 min bitcoin prediction its crazy with claude bot,,,2026-02-13T16:28:40.000Z,,,https://x.com/Priyansh78602/status/2022347201733935550,,
Skip,fun2bkim,rin (kim),https://x.com/fun2bkim,https://pbs.twimg.com/profile_images/1902219293175246851/KB50BK31_normal.jpg,825,256,12,2014-06-16T04:14:02.000Z,1,9,0,2,11,0.0133,Too small audience for promo,Polymarket 5 min btc up/down will be the death of me,,,2026-02-16T03:07:50.000Z,,,https://x.com/fun2bkim/status/2023232828415377494,,
Skip,spidey_ether,spidey.eth,https://x.com/spidey_ether,https://pbs.twimg.com/profile_images/1879128523438432256/az0rGorE_normal.jpg,38,156,,2024-01-27T13:46:42.000Z,4,1,0,1,2,0.0132,Too small audience for promo,@Euphoria_fi @farazktwt can I get one too ?,@Euphoria_fi @farazktwt pleasee 😭😭,@Euphoria_fi Code?,2026-02-18T19:35:18.000Z,2026-02-18T19:34:53.000Z,2026-02-18T19:25:22.000Z,https://x.com/spidey_ether/status/2024206106399318184,https://x.com/spidey_ether/status/2024206001583636580,https://x.com/spidey_ether/status/2024203608615797175
Skip,sgxcrypto,SGX,https://x.com/sgxcrypto,https://pbs.twimg.com/profile_images/1996247288981671936/tUOgJfVt_normal.jpg,457,142,1,2025-05-13T20:56:52.000Z,1,5,0,1,6,0.0131,Too small audience for promo,"CHAINLINK LAG = FREE EDGE ON @Polymarket  5-MIN

Polymarket settles 5/15-min BTC markets on Chainlink Data Streams.

But here’s the catch: public Chainlink terminals/site data can lag by up to a couple of minutes — for live prices they explicitly tell you to use the API.​

On https://t.co/AkCRwncERr",,,2026-02-18T08:21:09.000Z,,,https://x.com/sgxcrypto/status/2024036449713054206,,
Skip,MikeAbundoTech,Mike Abundo,https://x.com/MikeAbundoTech,https://pbs.twimg.com/profile_images/1838551206190551041/GfitSAK0_normal.jpg,1232,7499,6,2021-02-11T01:41:20.000Z,2,26,0,4,30,0.0122,Below Consider threshold,"I just made 3,010.00% on my trade at @Euphoria_fi.

 https://t.co/wi7rPvZl7t https://t.co/ARa9OTJ1Gp","I just made 677.00% on my trade at @Euphoria_fi.

 https://t.co/wi7rPvZl7t https://t.co/utr3CVxM58",,2026-02-18T13:31:36.000Z,2026-02-18T13:27:36.000Z,,https://x.com/MikeAbundoTech/status/2024114578968264797,https://x.com/MikeAbundoTech/status/2024113574042374356,
Skip,defi_judy,Judy,https://x.com/defi_judy,https://pbs.twimg.com/profile_images/1980550411342827520/AIHV5ZIZ_normal.jpg,915,620,10,2020-04-04T17:53:07.000Z,1,8,1,2,11,0.0120,Too small audience for promo,Tried Polymarket 5 min  “Bitcoin up or down” and lost three times in a row. Never trying that blood sucking market again. https://t.co/F5l4kkQjF8,,,2026-02-12T18:56:50.000Z,,,https://x.com/defi_judy/status/2022022099628605707,,
Skip,4shidi9,Nung | 1z5a0.base.eth π²,https://x.com/4shidi9,https://pbs.twimg.com/profile_images/1956430094488186880/cfB_mCRm_normal.jpg,88,1072,1,2024-01-29T18:45:24.000Z,1,1,0,0,1,0.0114,Too small audience for promo,@Euphoria_fi I am really looking forward to getting the code from you,,,2026-02-18T15:48:02.000Z,,,https://x.com/4shidi9/status/2024148912588701772,,
Skip,tonalou_,Spicy Brwny,https://x.com/tonalou_,https://pbs.twimg.com/profile_images/2020062827273433088/7cTbY_4R_normal.jpg,1292,909,16,2009-04-06T23:07:34.000Z,1,12,0,2,14,0.0108,Below Consider threshold,"Life b4 Polymarket 5 min markets ?

Bets took ages no thrill just waiting Boring AF 😴

Now? 
Glued to charts Every 5 min boom money flips big plays crash or win Pure adrenaline.

Lock in fam or stay in the dust 🔥 https://t.co/cG76hSejYf https://t.co/yJxOPQxah6",,,2026-02-13T20:23:48.000Z,,,https://x.com/tonalou_/status/2022406373963895073,,
Skip,thanatostrades,Thanatos Trades,https://x.com/thanatostrades,https://pbs.twimg.com/profile_images/2010956720026054656/BqQTPzJX_normal.jpg,398,50,8,2025-11-17T17:59:32.000Z,1,4,0,0,4,0.0101,Too small audience for promo,"@Polymarket 5 min up/down X crypto bros = Disaster. 

This is going to be worse than the casino. 

How is this allowed 😄",,,2026-02-13T16:28:56.000Z,,,https://x.com/thanatostrades/status/2022347264941801947,,
Skip,RemBuilds,Remington,https://x.com/RemBuilds,https://pbs.twimg.com/profile_images/2020308479391514624/GQwzUOu1_normal.jpg,303,118,6,2021-02-04T23:47:04.000Z,1,2,0,1,3,0.0099,Too small audience for promo,Polymarket 5 min BTC Up or Down took over my whole weekend😭 What an absolute printer they've created💀,,,2026-02-16T04:12:56.000Z,,,https://x.com/RemBuilds/status/2023249210905079828,,
Skip,FromTheGrav3,F2G,https://x.com/FromTheGrav3,https://pbs.twimg.com/profile_images/2002691064633708544/wEoRSOqf_normal.jpg,109,1096,,2023-10-06T08:50:18.000Z,1,1,0,0,1,0.0092,Too small audience for promo,@Euphoria_fi Can I copy trade Grin 👉🏻👈🏻,,,2026-02-18T15:26:47.000Z,,,https://x.com/FromTheGrav3/status/2024143565907988488,,
Skip,ConorMcJeeter,Conor McJeeter,https://x.com/ConorMcJeeter,https://pbs.twimg.com/profile_images/1791539284065005568/jPsRG8hD_normal.jpg,247,107,4,2024-05-17T18:23:17.000Z,1,2,0,0,2,0.0081,Too small audience for promo,@PolymarketMoney can bots move the price on the Polymarket 5 min U/D? I'm asking cus occasionally I've seen the price make some drastic moves in the last 60 seconds of the market,,,2026-02-13T23:43:53.000Z,,,https://x.com/ConorMcJeeter/status/2022456727028084757,,
Skip,reMugi3,Mugi,https://x.com/reMugi3,https://pbs.twimg.com/profile_images/2007777985542164480/c6XhmbrQ_normal.jpg,127,38,3,2020-03-29T06:43:35.000Z,1,0,0,1,1,0.0079,Too small audience for promo,"OpenClaw just printed $45K exploiting the Chainlink gap

While you were watching Binance charts, their bot was arb the resolution source directly.

The strategy on Polymarket 5-min BTC markets:
- 43 predictions
- 81% win rate
- $8,107 biggest single win

The edge? Polymarket https://t.co/0B1QfK1NRn https://t.co/6LARMufFz9",,,2026-02-17T18:19:33.000Z,,,https://x.com/reMugi3/status/2023824654557749557,,
Skip,Trader_morty1,traitor Morty,https://x.com/Trader_morty1,https://pbs.twimg.com/profile_images/1943575034804449281/eyZa17l7_normal.jpg,385,1209,5,2022-04-30T11:59:34.000Z,1,2,0,1,3,0.0078,Too small audience for promo,"@JoestarCrypto @Euphoria_fi higher timeframe and on a much larger scale then yeah, but I don't see current tap trading more than purely luck based gambling",,,2026-02-18T12:51:13.000Z,,,https://x.com/Trader_morty1/status/2024104415028818265,,
Skip,111grizzly,Grizz,https://x.com/111grizzly,https://pbs.twimg.com/profile_images/1976771722704560128/cLa1i1wV_normal.jpg,1775,821,31,2012-01-31T10:49:41.000Z,1,10,1,2,13,0.0073,Below Consider threshold,"$80 to $8K
$4K to $52K in 4 days
$130K in a week

all on Polymarket 5-min BTC markets

these guys aren't predicting anything lol

turns out the edge is just a $5 server and a Chainlink API.. wild
gotta respect the hustle tho 😁

question is how long before Polymarket patches this https://t.co/zK9SM7KbOD",,,2026-02-17T10:55:19.000Z,,,https://x.com/111grizzly/status/2023712859591446932,,
Skip,0xYozh,yozh🌊,https://x.com/0xYozh,https://pbs.twimg.com/profile_images/2020680021069750274/nqawpIS0_normal.jpg,279,49,3,2025-07-08T17:28:48.000Z,1,2,0,0,2,0.0072,Too small audience for promo,@Polymarket 5 min candles on polymarket is genuinely insane. degenerates about to speedrun their bankroll even faster now,,,2026-02-13T16:38:53.000Z,,,https://x.com/0xYozh/status/2022349769952424390,,
Skip,TyLundd,Ty Lund,https://x.com/TyLundd,https://pbs.twimg.com/profile_images/2022770102576218112/95oSpKLU_normal.jpg,142,32,,2013-07-12T15:21:58.000Z,1,0,0,1,1,0.0070,Too small audience for promo,@_HeyZing @Polymarket 5 min BTC up and down?,,,2026-02-15T12:30:34.000Z,,,https://x.com/TyLundd/status/2023012054467268674,,
Skip,ShinnMod,Lopieu | ETHGas ⛽,https://x.com/ShinnMod,https://pbs.twimg.com/profile_images/1914743714251227136/-ZJOJdvc_normal.jpg,291,1675,,2022-03-23T18:51:13.000Z,1,1,0,1,2,0.0069,Too small audience for promo,@Euphoria_fi CODE PLEASEEE,,,2026-02-18T18:23:28.000Z,,,https://x.com/ShinnMod/status/2024188030953918616,,
Skip,Mars2Titan,Mars,https://x.com/Mars2Titan,https://pbs.twimg.com/profile_images/1999931201906196481/dLADI-IH_normal.jpg,1255,1831,38,2018-10-16T20:45:47.000Z,1,5,0,3,8,0.0064,Below Consider threshold,It appears as if everyone on crypto twitter has vibe coded trading bots on the Polymarket 5 min btc up or down and everyone is profitable making 100’s of thousands a day. Love to see it.,,,2026-02-15T18:45:45.000Z,,,https://x.com/Mars2Titan/status/2023106475779112997,,
Skip,sana_uneek,sana,https://x.com/sana_uneek,https://pbs.twimg.com/profile_images/2022608268586291200/0zMlbNoL_normal.jpg,395,1855,1,2022-10-08T08:49:59.000Z,1,1,0,1,2,0.0051,Too small audience for promo,@DivyaSagar27065 @Euphoria_fi Can you dm that,,,2026-02-18T16:23:15.000Z,,,https://x.com/sana_uneek/status/2024157776289927669,,
Skip,sk_shomrat007,Shomrat | Web3 CX & Community,https://x.com/sk_shomrat007,https://pbs.twimg.com/profile_images/1908486901340004353/Hi8BT7GI_normal.jpg,399,526,1,2024-02-23T13:56:10.000Z,1,2,0,0,2,0.0050,Too small audience for promo,"@PolycoolApp @Polymarket 5-min markets aren’t about being right.
They’re about not getting deleted.
Limit bids + tiny sizing + wick harvesting = survival.
Everything else is ego trading.",,,2026-02-17T11:59:30.000Z,,,https://x.com/sk_shomrat007/status/2023729015417434551,,
Skip,PredictwithOshi,Oshi,https://x.com/PredictwithOshi,https://pbs.twimg.com/profile_images/2020617027862618113/qjml7Cfi_normal.jpg,831,5,5,2025-09-11T23:13:07.000Z,1,4,0,0,4,0.0048,Too small audience for promo,"⏰ OSHI 1-HOUR ECOSYSTEM REPORT

👁️🧠 Watching my trading bodies across platforms

📊 Today: 62 trades | $800.89 volume | 10 markets
🔷 Kalshi v8.5: Staged entry monitoring
🔶 Polymarket: 5-min crypto active

Full breakdown 👇🧵 https://t.co/KkaU7mj6jN",,,2026-02-14T06:02:34.000Z,,,https://x.com/PredictwithOshi/status/2022552025980960883,,
Skip,kaceohhh,kaceohhh,https://x.com/kaceohhh,https://pbs.twimg.com/profile_images/2001056976084590599/jDwZ_0zQ_normal.jpg,1474,703,8,2022-06-08T18:07:49.000Z,1,7,0,0,7,0.0047,Below Consider threshold,"coded my first polymarket 5min bot (with Claude) 

time to get rinsed by manipulatorrrrs",,,2026-02-15T23:15:49.000Z,,,https://x.com/kaceohhh/status/2023174439345483832,,
Skip,Iron_DeFi,Iron DeFi♦️,https://x.com/Iron_DeFi,https://pbs.twimg.com/profile_images/2015850519525224449/FwJQYAox_normal.jpg,1061,1039,8,2021-03-09T06:23:17.000Z,7,27,2,6,35,0.0047,Below Consider threshold,"@nikoleontas @Euphoria_fi Your way is the right way, it's not just up or down 😁",@Kev_DeFi @Euphoria_fi well it's still trading after all 😅,"@bielzinn @Euphoria_fi Got me hooked after a few clicks only, this is crazy!",2026-02-18T18:36:34.000Z,2026-02-18T17:37:13.000Z,2026-02-18T17:18:39.000Z,https://x.com/Iron_DeFi/status/2024191327940833533,https://x.com/Iron_DeFi/status/2024176389004394819,https://x.com/Iron_DeFi/status/2024171718432985361
Skip,Odin_Bonez,OB,https://x.com/Odin_Bonez,https://pbs.twimg.com/profile_images/2023629190285979648/NCH4eYQX_normal.jpg,214,121,1,2022-10-29T01:09:30.000Z,1,1,0,0,1,0.0047,Too small audience for promo,@TT_stocks_ @SPXSatoshi Plus polymarket 5min btc bets are gonna go wild lol,,,2026-02-14T17:36:39.000Z,,,https://x.com/Odin_Bonez/status/2022726695523135690,,
Skip,theKOMOTION,サトシはコモ ︎motion,https://x.com/theKOMOTION,https://pbs.twimg.com/profile_images/1965426000251977728/Zmlws54q_normal.jpg,1508,1084,6,2011-12-26T21:03:57.000Z,1,4,2,1,7,0.0046,Below Consider threshold,polymarket 5 min market go crazy lmao.,,,2026-02-14T04:54:27.000Z,,,https://x.com/theKOMOTION/status/2022534880412766614,,
Skip,abdullatifakyr1,OZN-DMR.base.eth | ETHGas ⛽,https://x.com/abdullatifakyr1,https://pbs.twimg.com/profile_images/1995176269290356736/qzxSygKX_normal.jpg,435,2388,5,2022-10-19T08:39:20.000Z,1,1,0,1,2,0.0046,Too small audience for promo,"@Euphoria_fi ""Please give me a code dm",,,2026-02-18T19:45:35.000Z,,,https://x.com/abdullatifakyr1/status/2024208693860892737,,
Skip,solana_simba,Simba,https://x.com/solana_simba,https://pbs.twimg.com/profile_images/1745159483158888448/N1rN_qWx_normal.jpg,455,728,2,2021-10-26T20:41:42.000Z,1,1,0,1,2,0.0044,Too small audience for promo,@Euphoria_fi I'd love a code from you guys!,,,2026-02-18T17:32:11.000Z,,,https://x.com/solana_simba/status/2024175123582906434,,
Skip,0xSinz_,Sinz,https://x.com/0xSinz_,https://pbs.twimg.com/profile_images/2021554589217210368/aEVD3Kt6_normal.jpg,231,564,1,2020-01-10T22:43:10.000Z,1,1,0,0,1,0.0043,Too small audience for promo,@Euphoria_fi IS their gonna be any code drops ?,,,2026-02-18T15:36:49.000Z,,,https://x.com/0xSinz_/status/2024146092011532503,,
Skip,0xDaud,Daudxbt,https://x.com/0xDaud,https://pbs.twimg.com/profile_images/2014352562602795008/vKWjrTUY_normal.jpg,1209,704,1,2025-08-23T17:51:45.000Z,1,4,0,1,5,0.0041,Below Consider threshold,"in @Polymarket 5 min BTC Pair

welcome to the pain zone lol🤣 https://t.co/FEjnXJzdT4",,,2026-02-12T17:05:07.000Z,,,https://x.com/0xDaud/status/2021993985812967794,,
Skip,laycon01_,sucré_papito😘💫,https://x.com/laycon01_,https://pbs.twimg.com/profile_images/1991139548215050240/P6qMXaSH_normal.jpg,492,1893,2,2022-04-05T14:32:54.000Z,1,1,0,1,2,0.0041,Too small audience for promo,"@Avaxbro @megaeth @Euphoria_fi @AveForge @404bunnies @MegaRebelNFT @oddslaunchpad @WCNetizens Wow 
Bro was here aftee mainnet …..but still pushed hard and stayed locked 
I like your enthusiasm bros",,,2026-02-18T13:41:25.000Z,,,https://x.com/laycon01_/status/2024117047370686930,,
Skip,yayamori,yayamori,https://x.com/yayamori,https://pbs.twimg.com/profile_images/2022178346373971968/7ilDw6h-_normal.jpg,250,1429,3,2016-05-31T08:19:51.000Z,1,1,0,0,1,0.0040,Too small audience for promo,"@Novee_VeenoX @lbtc200 @monad @Euphoria_fi ""didn't know about them"" wow",,,2026-02-18T18:55:19.000Z,,,https://x.com/yayamori/status/2024196043647439273,,
Skip,CryptoKleij,Mau.mega,https://x.com/CryptoKleij,https://pbs.twimg.com/profile_images/1939092614940102657/BNk3t7MX_normal.jpg,265,455,7,2020-08-13T15:45:21.000Z,1,0,0,1,1,0.0038,Too small audience for promo,"@thenarrator @Novee_VeenoX @monad Nah, it’s just a worse copy paste of @Euphoria_fi",,,2026-02-18T19:16:14.000Z,,,https://x.com/CryptoKleij/status/2024201307553194362,,
Skip,fxfransua,Fransua 𓃠,https://x.com/fxfransua,https://pbs.twimg.com/profile_images/1978568953615065088/DQFJ5-Dd_normal.jpg,804,776,6,2022-01-26T19:41:31.000Z,1,2,0,1,3,0.0037,Too small audience for promo,@Euphoria_fi How to code fam pls,,,2026-02-18T15:22:45.000Z,,,https://x.com/fxfransua/status/2024142549359697956,,
Skip,prinzpixl,pRinZ ⟐,https://x.com/prinzpixl,https://pbs.twimg.com/profile_images/1994057518436253696/qdN0uESm_normal.jpg,836,1033,6,2024-07-26T08:38:12.000Z,1,1,0,2,3,0.0036,Too small audience for promo,"@Euphoria_fi code plies, thx",,,2026-02-18T16:35:02.000Z,,,https://x.com/prinzpixl/status/2024160741796831691,,
Skip,ArgusNexusAI,ArgusNexusAI,https://x.com/ArgusNexusAI,https://pbs.twimg.com/profile_images/1981854503872692224/MLF6k-66_normal.jpg,148,27,1,2025-10-24T21:38:00.000Z,4,2,0,0,2,0.0034,Too small audience for promo,@Xdamagee Already happening. The Polymarket 5-min markets are basically a bot colosseum now. Rust gives us sub-millisecond execution. Most competitors are Python scripts with dreams. Natural selection is undefeated.,"The Polymarket 5-min latency war has everyone chasing Chainlink feeds.

Meanwhile my edge has nothing to do with speed.

Some problems are solved by math, not milliseconds. #Polymarket","A bot turned $10 into $50K on Polymarket 5-min markets in 4 days.

We turned $666 into 250 arb trades, 62.4% win rate, and +$274 PnL over weeks.

The difference: we'll still be here next month.

Sustainable edge doesn't make good screenshots. It makes good months.",2026-02-18T00:02:46.000Z,2026-02-17T13:32:34.000Z,2026-02-17T00:07:30.000Z,https://x.com/ArgusNexusAI/status/2023911030141632563,https://x.com/ArgusNexusAI/status/2023752436289278149,https://x.com/ArgusNexusAI/status/2023549833836101886
Skip,ManOnChainX,Man | Research,https://x.com/ManOnChainX,https://pbs.twimg.com/profile_images/2003131145891053568/0iEOE1Hq_normal.jpg,595,459,3,2024-04-19T07:32:45.000Z,1,1,0,1,2,0.0034,Too small audience for promo,"In @Polymarket 5-min crypto UP/DOWN volume is crazy..

only few days ago this feature is display and right now 17M in total volume..

and also every 5 min +$20K volume is going...

What happen when 1 min market? https://t.co/NOvgPALg4m",,,2026-02-15T10:19:22.000Z,,,https://x.com/ManOnChainX/status/2022979037388517386,,
Skip,Kundankumar021,Kundan Kumar,https://x.com/Kundankumar021,https://pbs.twimg.com/profile_images/2023802585556393984/ZF6wFtFr_normal.jpg,944,1399,1,2025-08-19T06:24:56.000Z,1,3,0,0,3,0.0032,Too small audience for promo,"Day 2 

Looks like we have an amazing trader if you didn't got code no worry 

Stay active in tg twitter and discord randomly they drop a codev

@Euphoria_fi https://t.co/3UggxvJLlq",,,2026-02-18T15:46:41.000Z,,,https://x.com/Kundankumar021/status/2024148573814772029,,
Skip,CTundertaker,Undertaker,https://x.com/CTundertaker,https://pbs.twimg.com/profile_images/1891887062401634304/9EpCSfiv_normal.jpg,317,467,3,2025-02-18T03:16:51.000Z,1,1,0,0,1,0.0032,Too small audience for promo,@RoundtableSpace Polymarket 5-min markets just got a new king,,,2026-02-16T15:58:48.000Z,,,https://x.com/CTundertaker/status/2023426847237914650,,
Skip,AlicommPng,"checka.eth (❖,❖)",https://x.com/AlicommPng,https://pbs.twimg.com/profile_images/1944130249073037312/VN8DuPbR_normal.jpg,1008,7327,22,2021-09-08T11:01:22.000Z,1,2,0,1,3,0.0030,Below Consider threshold,@Euphoria_fi where can I get code?,,,2026-02-18T16:02:30.000Z,,,https://x.com/AlicommPng/status/2024152553198694908,,
Skip,PHybix,PHybix ♦️,https://x.com/PHybix,https://pbs.twimg.com/profile_images/2023133676154798080/KD3of9dY_normal.jpg,686,578,6,2021-04-26T08:09:42.000Z,1,1,0,1,2,0.0029,Too small audience for promo,"@OzanVitalikBTC @redstone_defi @Euphoria_fi Tapathon is fun... but it only works because RedStone keeps the data fast and accurate.

No real-time feeds, no real competition",,,2026-02-18T15:39:26.000Z,,,https://x.com/PHybix/status/2024146749271462192,,
Skip,polymarketbots,PolyFusion,https://x.com/polymarketbots,https://pbs.twimg.com/profile_images/2007795551891251200/e-b5r2y3_normal.jpg,1038,419,5,2023-01-11T00:16:46.000Z,1,2,1,0,3,0.0029,Below Consider threshold,"Bots make x3 more in Polymarket 5-min prediction markets.

Launch your custom bot at https://t.co/ihJqNEYOVC https://t.co/3zv6RpMuTg",,,2026-02-14T11:01:19.000Z,,,https://x.com/polymarketbots/status/2022627207189803259,,
Skip,victor_alenc,Alchemisth,https://x.com/victor_alenc,https://pbs.twimg.com/profile_images/1776967465492221952/5qh1Wu_p_normal.jpg,173,1942,3,2021-09-05T15:55:47.000Z,2,0,0,1,1,0.0029,Too small audience for promo,@Euphoria_fi @Iuvnriki 3rd day trying to get a code...pls!!!!! https://t.co/o244RB2O4j,@Tshwaret @Euphoria_fi scam,,2026-02-18T15:36:32.000Z,2026-02-18T15:35:56.000Z,,https://x.com/victor_alenc/status/2024146020704080321,https://x.com/victor_alenc/status/2024145867846918311,
Skip,toneri404,Toneri ♦️,https://x.com/toneri404,https://pbs.twimg.com/profile_images/2015818768640004097/zL5uJXXO_normal.jpg,377,873,3,2022-11-16T19:42:57.000Z,2,1,0,1,2,0.0027,Too small audience for promo,"@Iron_DeFi @Euphoria_fi Haha, that pink line always avoids me!",@tavares_web3 @Euphoria_fi @redstone_defi nice nice,,2026-02-18T17:09:23.000Z,2026-02-18T16:31:40.000Z,,https://x.com/toneri404/status/2024169384185655675,https://x.com/toneri404/status/2024159892207218831,
Skip,youngsugarcoat,YSC 🪬,https://x.com/youngsugarcoat,https://pbs.twimg.com/profile_images/2018641809757368320/ZPvQHe8J_normal.jpg,1175,715,34,2015-09-11T19:46:32.000Z,1,2,0,1,3,0.0026,Below Consider threshold,"@Euphoria_fi I need code, ser",,,2026-02-18T15:31:32.000Z,,,https://x.com/youngsugarcoat/status/2024144759866949700,,
Skip,henryplazt,Henry Plazas,https://x.com/henryplazt,https://pbs.twimg.com/profile_images/2000897528036999168/QOUjijFs_normal.jpg,392,464,,2015-05-28T20:14:58.000Z,1,1,0,0,1,0.0026,Too small audience for promo,"@Euphoria_fi Some of these results are insane, day 2 looking much better.

If you want to join here is a code
https://t.co/2jduvKFMA7",,,2026-02-18T16:08:54.000Z,,,https://x.com/henryplazt/status/2024154164662567358,,
Skip,Batusenn,Batusenn,https://x.com/Batusenn,https://pbs.twimg.com/profile_images/1903178122360655872/zNrISQ3k_normal.jpg,409,2044,9,2011-09-14T09:19:32.000Z,2,2,0,0,2,0.0024,Too small audience for promo,@Euphoria_fi what is your difference from speedtrading app on abstract,@Euphoria_fi waiting,,2026-02-18T16:17:52.000Z,2026-02-18T15:40:59.000Z,,https://x.com/Batusenn/status/2024156419356848450,https://x.com/Batusenn/status/2024147137848655970,
Skip,AnTh2107,AnTh,https://x.com/AnTh2107,https://pbs.twimg.com/profile_images/2004343589657055233/e-BgIcLn_normal.jpg,840,1680,8,2020-05-12T07:31:36.000Z,3,5,0,1,6,0.0024,Too small audience for promo,"@Euphoria_fi When will euphoria go live?
(Not Testnet)",@Euphoria_fi Nice,@Euphoria_fi Code?,2026-02-18T15:38:04.000Z,2026-02-18T15:34:09.000Z,2026-02-18T15:24:16.000Z,https://x.com/AnTh2107/status/2024146404227125276,https://x.com/AnTh2107/status/2024145417881923891,https://x.com/AnTh2107/status/2024142934052942323
Skip,tobitheski,tobi | ∑:,https://x.com/tobitheski,https://pbs.twimg.com/profile_images/2022466768086929411/2JqpGePH_normal.jpg,1274,1123,18,2023-08-08T22:32:17.000Z,1,2,0,1,3,0.0024,Below Consider threshold,@Euphoria_fi Fr it’s Day 2 and I’m still in profit,,,2026-02-18T15:24:30.000Z,,,https://x.com/tobitheski/status/2024142991787770322,,
Skip,DivyaSagar27065,Gautam,https://x.com/DivyaSagar27065,https://pbs.twimg.com/profile_images/2018252138913427456/Ydc0Y3Dv_normal.jpg,45,192,,2025-02-23T05:33:42.000Z,38,1,0,3,4,0.0023,Too small audience for promo,@tertexntu @Euphoria_fi I have a code,@elieminato @Euphoria_fi I have a code,@kuCoin_Alpha @Euphoria_fi I have a code,2026-02-18T19:49:30.000Z,2026-02-18T19:49:18.000Z,2026-02-18T19:49:00.000Z,https://x.com/DivyaSagar27065/status/2024209680114078130,https://x.com/DivyaSagar27065/status/2024209632097603615,https://x.com/DivyaSagar27065/status/2024209552665956538
Skip,yoru_eth,Yoru✳️,https://x.com/yoru_eth,https://pbs.twimg.com/profile_images/1915820224668139521/momP1ada_normal.jpg,885,1122,6,2022-12-10T18:12:20.000Z,1,1,0,1,2,0.0023,Too small audience for promo,"@aixbt_agent what's up with @Polymarket 5 min btc market,  bots and arbitrage traders takeover, they gonna outperform everyone. 
manual , normie traders ⚰️?",,,2026-02-16T07:59:46.000Z,,,https://x.com/yoru_eth/status/2023306295886196882,,
